symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
PETRW390,2022-11-09T00:00:00.000Z,"{'price': 26.9, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,40.27,12.66,EUROPEAN,7,ITM,-1.0,0.0,0.0,0.0031942566517662,-0.0111799877203681,0.0,100.0,13.3476,0.6875999999999998
PETRN333,2022-11-16T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2023-02-17T00:00:00.000Z,34.02,6.0,EUROPEAN,67,ITM,-1.0,0.0,0.0,0.002685680962195,-0.0899703068621724,0.0,100.0,6.6896,0.6896000000000004
PETRW260,2022-11-14T00:00:00.000Z,"{'price': 27.7, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,31.02,3.16,EUROPEAN,3,ITM,-0.758383,0.0771866222932802,0.0094300582270012,-0.20822969987139,-0.0029592312206919,133.747,80.15,3.8498,0.6898
PETRW280,2022-11-17T00:00:00.000Z,"{'price': 27.16, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,32.52,5.31,EUROPEAN,1,ITM,-0.779687,0.0529756361206577,0.0050698901112046,-0.8267152609475267,-0.0010783466758823,326.957,83.57,5.9998,0.6898
PETRM302,2022-11-21T00:00:00.000Z,"{'price': 26.78, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,36.02,8.94,EUROPEAN,43,ITM,-0.842166,0.0348117035494123,0.0266764660082192,-0.0168699801746749,-0.0549159998150105,62.62,89.65,9.6301,0.690100000000001
PETRL343,2022-11-22T00:00:00.000Z,"{'price': 23.33, 'symbol': 'PETR4'}",CALL,2022-12-16T00:00:00.000Z,14.76,7.9,EUROPEAN,18,ITM,1.0,0.0,0.0,-0.0011697562867806,0.0105278697478649,0.0,100.0,8.5911,0.6911000000000005
PETRW452,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,45.27,17.4,EUROPEAN,8,ITM,-0.999997,5.253130149022671e-06,7.739881695840059e-07,0.0035875237027476,-0.0143622636732251,62.963,100.0,18.0913,0.6913000000000018
PETRM249,2022-11-22T00:00:00.000Z,"{'price': 23.33, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,43.51,19.34,EUROPEAN,43,ITM,-1.0,0.0,0.0,0.0034414100400865,-0.0739903502759621,0.0,100.0,20.0318,0.6918000000000006
PETRX357,2022-11-16T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,39.02,11.11,EUROPEAN,22,ITM,-1.0,0.0,0.0,0.0030914229336404,-0.0340058130240375,0.0,100.0,11.8019,0.6919000000000004
PETRM372,2022-11-29T00:00:00.000Z,"{'price': 25.38, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,34.01,7.84,EUROPEAN,38,ITM,-0.991536,0.0076672595472911,0.002269944821773,0.0017643283973831,-0.0508190129795362,30.479,99.39,8.5358,0.6958000000000002
